time	event	lat	lng	x	y	accuracy
1425808174686	gps	52.89198449347168	-1.1585516016930342	-128969.37435820006	6928943.09008196	15
1425808175689	gps	52.89199870079756	-1.1585350055247545	-128967.52688119805	6928945.705084635	15
1425808176691	gps	52.89200549013913	-1.158525450155139	-128966.46318231811	6928946.954732235	15
1425808177696	gps	52.8920154646039	-1.1585174035280943	-128965.56743589291	6928948.790634623	15
1425808178696	gps	52.89202518761158	-1.1585070937871933	-128964.41976078559	6928950.580254164	15
1425808179698	gps	52.89204086177051	-1.1584960296750069	-128963.18810945092	6928953.465245139	15
1425808180712	gps	52.892055991105735	-1.1584872286766768	-128962.20838679835	6928956.249956671	15
1425808181704	gps	52.892064498737454	-1.1584772542119026	-128961.09803445874	6928957.815875219	15
1425808182704	gps	52.89207476656884	-1.1584635078907013	-128959.56780098232	6928959.7057773275	15
1425808183706	gps	52.89208344183862	-1.1584505997598171	-128958.1308744252	6928961.302552113	15
1425808184711	gps	52.89209379348904	-1.1584399547427893	-128956.94587655018	6928963.207882833	15
1425808185715	gps	52.892104857601225	-1.1584308184683323	-128955.92883112987	6928965.244350179	15
1425808186716	gps	52.892114580608904	-1.158422939479351	-128955.05174608852	6928967.033973431	15
1425808187719	gps	52.892121872864664	-1.158413216471672	-128953.9693858247	6928968.376191134	15
1425808188719	gps	52.892126105725765	-1.1584049183875322	-128953.04564732371	6928969.155294617	15
1425808189621	gps	52.89213310461491	-1.158393518999219	-128951.77667322133	6928970.443515397	15
1425808190625	gps	52.89214752148837	-1.1583859752863646	-128950.93691094768	6928973.097096582	15
1425808191625	gps	52.89216512348503	-1.1583789344877005	-128950.15313282562	6928976.336935279	15
1425808192630	gps	52.89217928890139	-1.158370804041624	-128949.24805570848	6928978.944234999	15
1425808193623	gps	52.89219169411808	-1.1583632603287697	-128948.40829343484	6928981.227551434	15
1425808194689	gps	52.89220246486366	-1.1583535373210907	-128947.32593317103	6928983.210026034	15
1425808195681	gps	52.89221114013344	-1.1583407130092382	-128945.89833730584	6928984.806805545	15
1425808196683	gps	52.892219899222255	-1.1583253741264343	-128944.19082068276	6928986.419013205	15
1425808197685	gps	52.89223301690072	-1.1583152320235968	-128943.06180695932	6928988.8334683515	15
1425808198687	gps	52.89224743377417	-1.1583023238927126	-128941.6248804022	6928991.4870556835	15
1425808199690	gps	52.89226348511875	-1.158296288922429	-128940.95307058329	6928994.441486808	15
1425808200692	gps	52.89227232802659	-1.15828363224864	-128939.54413610196	6928996.069124269	15
1425808201697	gps	52.89228439796716	-1.1582722328603268	-128938.27516199958	6928998.290734232	15
1425808202696	gps	52.892297892831266	-1.1582643538713455	-128937.39807695821	6929000.77461833	15
1425808203698	gps	52.89231059141457	-1.1582578998059034	-128936.67961367965	6929003.111938549	15
1425808204704	gps	52.89232115261257	-1.158248595893383	-128935.64390687548	6929005.055848955	15
1425808205706	gps	52.89232974406332	-1.1582402139902115	-128934.71083768256	6929006.637204996	15
1425808206707	gps	52.89234126918018	-1.1582395434379578	-128934.63619214713	6929008.758536764	15
1425808207710	gps	52.892352836206555	-1.1582314129918814	-128933.73111502998	6929010.887583038	15
1425808208711	gps	52.892356691882014	-1.1582220252603292	-128932.68607753389	6929011.597265256	15
1425808209714	gps	52.89235979318619	-1.1582117155194283	-128931.53840242658	6929012.16809665	15
1425808210714	gps	52.892363355495036	-1.1582025792449713	-128930.52135700628	6929012.823781411	15
1425808211719	gps	52.8923703962937	-1.1581949517130852	-128929.67226404071	6929014.119723217	15
1425808212720	gps	52.892374377697706	-1.1581846419721842	-128928.5245889334	6929014.852547546	15
1425808213626	gps	52.892379867844284	-1.1581706441938877	-128926.9663633812	6929015.863073835	15
1425808214626	gps	52.89238447789103	-1.1581623461097479	-128926.0426248802	6929016.711607461	15
1425808215626	gps	52.89238690864295	-1.1581529583781958	-128924.99758738412	6929017.159016135	15
1425808216628	gps	52.89239394944161	-1.1581403855234385	-128923.59798359472	6929018.4549586475	15
1425808217629	gps	52.892401199787855	-1.1581307463347912	-128922.52495402284	6929019.789471099	15
1425808218674	gps	52.892409497871995	-1.1581238731741905	-128921.75983728463	6929021.316832446	15
1425808219671	gps	52.89242542348802	-1.158115491271019	-128920.8267680917	6929024.248132822	15
1425808220672	gps	52.89243036881089	-1.1581023316830397	-128919.3618494588	6929025.158378949	15
1425808221675	gps	52.89243849925697	-1.1580889206379652	-128917.86893875009	6929026.654885522	15
1425808222677	gps	52.89244554005563	-1.158077772706747	-128916.6279567235	6929027.950829582	15
1425808223681	gps	52.8924541734159	-1.1580646969377995	-128915.17236878251	6929029.539904139	15
1425808224688	gps	52.89246167521924	-1.1580532137304544	-128913.8940639882	6929030.920702189	15
1425808225684	gps	52.89246599189937	-1.1580424010753632	-128912.6904047293	6929031.715239724	15
1425808226685	gps	52.89247441571206	-1.1580335162580013	-128911.70135138479	6929033.26574524	15
1425808227687	gps	52.89248292334378	-1.1580228712409735	-128910.51635350977	6929034.831678982	15
1425808228693	gps	52.892491053789854	-1.158012980595231	-128909.41533186211	6929036.328187374	15
1425808229691	gps	52.89249838795513	-1.1579999886453152	-128907.96907461307	6929037.678130757	15
1425808230697	gps	52.892506308853626	-1.1579889245331287	-128906.73742327838	6929039.136069866	15
1425808231713	gps	52.89251607377082	-1.157980291172862	-128905.77636200967	6929040.93342374	15
1425808232713	gps	52.89252336602658	-1.1579769384115934	-128905.40313433249	6929042.275653937	15
1425808233624	gps	52.892535855062306	-1.1579683888703585	-128904.4514037557	6929044.574416525	15
1425808234623	gps	52.89254792500287	-1.1579565703868866	-128903.13577619367	6929046.796040062	15
1425808235628	gps	52.89256301242858	-1.157942907884717	-128901.61487340917	6929049.573070356	15
1425808236684	gps	52.89257902186364	-1.157925808802247	-128899.7114122556	6929052.51980912	15
1425808237626	gps	52.89259469602257	-1.1579085420817137	-128897.78928971814	6929055.404837137	15
1425808238626	gps	52.89261016063392	-1.157892281189561	-128895.97913548385	6929058.251296288	15
1425808239632	gps	52.89260986726731	-1.157874595373869	-128894.01035948675	6929058.19729841	15
1425808240632	gps	52.89261854253709	-1.1578564066439867	-128891.98559933809	6929059.7940930035	15
1425808241637	gps	52.89262047037482	-1.1578364577144384	-128889.76489465892	6929060.14893629	15
1425808242674	gps	52.89261707570404	-1.1578211188316345	-128888.05737803584	6929059.524103556	15
1425808243670	gps	52.89262244012207	-1.1578124016523361	-128887.0869860752	6929060.511493578	15
1425808244675	gps	52.89262948092073	-1.1578119825571775	-128887.04033261554	6929061.807443166	15
1425808245679	gps	52.89262818172574	-1.1578119825571775	-128887.04033261554	6929061.568309595	15
1425808246683	gps	52.89262788835913	-1.1578113120049238	-128886.96568708011	6929061.514311695	15
1425808247686	gps	52.89262788835913	-1.1578113120049238	-128886.96568708011	6929061.514311695	15
1425808248691	gps	52.89262788835913	-1.1578113120049238	-128886.96568708011	6929061.514311695	15
1425808249700	gps	52.89262788835913	-1.1578113120049238	-128886.96568708011	6929061.514311695	10
1425808250704	gps	52.89262788835913	-1.1578113120049238	-128886.96568708011	6929061.514311695	10
1425808251704	gps	52.89262788835913	-1.1578113120049238	-128886.96568708011	6929061.514311695	10
1425808252615	gps	52.89262432605028	-1.1578049417585135	-128886.25655449348	6929060.858622912	10
1425808253619	gps	52.89263061247766	-1.1577979009598494	-128885.4727763714	6929062.015720799	10
1425808254690	gps	52.892638156190515	-1.1577792093157768	-128883.39203207118	6929063.404238488	10
1425808255685	gps	52.89264641236514	-1.1577598471194506	-128881.2366422355	6929064.923894234	10
1425808256688	gps	52.8926571412012	-1.1577395629137754	-128878.97861478859	6929066.8986757435	10
1425808257690	gps	52.89266807958484	-1.157714333385229	-128876.17007651787	6929068.912027709	15
